model_name,normalization_matrix
boat_a.glb,"{0.3104689,0,0,0,0,0.3104689,0,0,0,0,0.3104689,0,-0.01884548,-0.7634441,-0.005056449,1}"
mug.glb,"{0.96883523,0,0,0,0,0.96883523,0,0,0,0,0.96883523,0,-0.24405967,0,0,1}"
car2.glb,"{0.35309574,0,0,0,0,0.35309574,0,0,0,0,0.35309574,0,-1.5680601e-16,-0.17967932,-0.00012922334,1}"
backpack2.glb,"{0.025662467,0,1.4702017,0,0,1.4704256,0,0,-1.4702017,0,0.025662467,0,0.0037929483,-0.000110869914,0.0012081155,1}"
backpack1.glb,"{-0.8398346,0,1.3977195,0,0,1.6306262,0,0,-1.3977195,0,-0.8398346,0,-0.00091383996,-0.0009768372,0.012003638,1}"
backpack.glb,"{0.9600033,0,0,0,0,0.9600033,0,0,0,0,0.9600033,0,-0.0014726309,0.00012288136,0.008857958,1}"
vase2.glb,"{0.0034444479,0,0,0,0,0.0034444479,0,0,0,0,0.0034444479,0,-0.0026272745,0.04945176,0.013217732,1}"
vase1.glb,"{2.9341898,0,0,0,0,2.9341898,0,0,0,0,2.9341898,0,0.0033158935,0.106946155,-0.005394792,1}"
vase.glb,"{4.2353787,0,0,0,0,4.2353787,0,0,0,0,4.2353787,0,-8.34657e-06,-5.4907496e-06,-1.8712726e-05,1}"
table2.glb,"{0.8485095,0,0,0,0,0.8485095,0,0,0,0,0.8485095,0,0,-0.8485153,0,1}"
table1.glb,"{0.3750113,0,0,0,0,0.3750113,0,0,0,0,0.3750113,0,-7.8792033,-0.30130833,-6.482349e-06,1}"
table.glb,"{0.8894627,0,0,0,0,0.8894627,0,0,0,0,0.8894627,0,0,0.3316381,-0.020825341,1}"
chair3.glb,"{0.01986986,0,-1.1383436,0,0,1.1385169,0,0,1.1383436,0,0.01986986,0,-0.0006682338,-0.76330066,0.03828375,1}"
chair2.glb,"{1.37754,0,0,0,0,1.37754,0,0,0,0,1.37754,0,0,0,0,1}"
chair1.glb,"{0.010865832,0,0,0,0,0.010865832,0,0,0,0,0.010865832,0,-0.0003649045,-0.6774299,-0.04348722,1}"
chair.glb,"{0.010934947,0,0,0,0,0.010934947,0,0,0,0,0.010934947,0,0.014850575,-0.7311117,0.0070944675,1}"
armchair2.glb,"{0.7301532,0,0,0,0,0.7301532,0,0,0,0,0.7301532,0,-1.671188e-07,-0.71189934,0.069783784,1}"
armchair1.glb,"{0.03879011,0,0.028182663,0,0,0.047947213,0,0,-0.028182663,0,0.03879011,0,-0.06019372,-0.27226993,0.35511953,1}"
armchair.glb,"{1.1436644,0,0,0,0,1.1436644,0,0,0,0,1.1436644,0,0,-0.569708,0.00036993797,1}"
plant3.glb,"{0.087666936,0,-1.2536956,0,0,1.256757,0,0,1.2536956,0,0.087666936,0,-0.0072895563,-0.709801,-0.051896792,1}"
plant2.glb,"{1.5658678,0,0,0,0,1.5658678,0,0,0,0,1.5658678,0,0.0021575703,-0.52867025,0.11346375,1}"
plant1.glb,"{1.7446183,0,0,0,0,1.7446183,0,0,0,0,1.7446183,0,0.0013199572,-0.4928859,0.0020814107,1}"
plant.glb,"{1.2790588,0,0,0,0,1.2790588,0,0,0,0,1.2790588,0,-0.003269324,-0.10283398,-0.017715702,1}"
mug2.glb,"{-1.7183751,0,-8.840273,0,0,9.005734,0,0,8.840273,0,-1.7183751,0,-0.109941885,-0.5188521,-0.03502284,1}"
mug1.glb,"{0.45227465,0,0,0,0,0.45227465,0,0,0,0,0.45227465,0,-0.080690384,-0.561728,-0.034613732,1}"
forniture1.glb,"{0.2901842,0,16.624641,0,0,16.627172,0,0,-16.624641,0,0.2901842,0,-3.459265e-10,-0.6798308,-1.9818115e-08,1}"
forniture.glb,"{0.84532505,0,0,0,0,0.84532505,0,0,0,0,0.84532505,0,0,-0.8588503,-0.10509873,1}"
camera2.glb,"{-0.041682493,0,0.023104982,0,0,0.047657847,0,0,-0.023104982,0,-0.041682493,0,-0.29761454,-0.31327,-0.08642447,1}"
camera.glb,"{0.341082,0,-0.24781059,0,0,0.42160055,0,0,0.24781059,0,0.341082,0,0.14984865,-0.435159,0.046664704,1}"
bugati-divo.glb,"{0.03737846,0,0,0,0,0.03737846,0,0,0,0,0.03737846,0,0.00012135979,-0.24153297,0.033669468,1}"
cyberpunk_car.glb,"{-0.0033264959,0,-4.0737826e-19,0,0,0.0033264959,0,0,4.0737826e-19,0,-0.0033264959,0,7.090852e-17,-0.23376732,1.5460415e-08,1}"
boat.glb,"{0.37256268,0,9.125154e-17,0,0,0.37256268,0,0,-9.125154e-17,0,0.37256268,0,-0.022614576,-0.916133,-0.0060677393,1}"
boat1.glb,"{4.9107424e-05,0,-0.0028133625,0,0,0.0028137912,0,0,0.0028133625,0,4.9107424e-05,0,0.046438396,-0.57607406,-0.046799682,1}"
boat2.glb,"{-3.9531005e-06,0,0.00022647298,0,0,0.00022650749,0,0,-0.00022647298,0,-3.9531005e-06,0,-0.8009863,-0.5424579,-0.011459322,1}"
car.glb,"{-0.0036591454,0,-4.481161e-19,0,0,0.0036591454,0,0,4.481161e-19,0,-0.0036591454,0,7.799938e-17,-0.25714406,1.7006457e-08,1}"
car1.glb,"{0.08280468,0,0,0,0,0.08280468,0,0,0,0,0.08280468,0,0,-0.24318331,-0.01499659,1}"
gym_machine__body_solid.glb,"{0.6201141,0,0.5203375,0,0,0.80950147,0,0,-0.5203375,0,0.6201141,0,-3.5841488e-08,-0.7691,-3.007458e-08,1}"
statue.glb,"{-0.055267695,0,-6.7683404e-18,0,0,0.055267695,0,0,6.7683404e-18,0,-0.055267695,0,-0.14680134,0.05018018,0.96995926,1}"
statue1.glb,"{0.003169505,0,0,0,0,0.003169505,0,0,0,0,0.003169505,0,-0.08216744,-0.8418427,0.03876105,1}"
statue2.glb,"{0.010310124,0,0,0,0,0.010310124,0,0,0,0,0.010310124,0,-0.00010884091,0.8361901,0.10295983,1}"
knife.glb,"{-0.011710646,-0.74522614,0.67090243,0,-0.01300599,0.6710046,0.7451126,0,-1.0026479,-1.1133324e-16,-0.017501285,0,-0.00073357794,0.00037615598,-0.00035149074,1}"
bag.glb,"{0.4809815,0,0,0,0,0.4809815,0,0,0,0,0.4809815,0,-2.2934985e-09,-0.5863012,3.1043836e-08,1}"
bag1.glb,"{3.4368427,0,0,0,0,3.4368427,0,0,0,0,3.4368427,0,0.0016175321,0.099082686,-0.0006540577,1}"
bag2.glb,"{0.7261511,0,0,0,0,0.7261511,0,0,0,0,0.7261511,0,2.7051237e-09,0.07001795,-2.7916876e-06,1}"
plate.glb,"{1.3437346,0,0,0,0,1.3437346,0,0,0,0,1.3437346,0,-2.8621547,-4.3406134,1.7743753,1}"
plate1.glb,"{0.7560174,0,0,0,0,0.7560174,0,0,0,0,0.7560174,0,4.5062148e-08,-0.06925478,4.5062148e-08,1}"
shoe.glb,"{-0.8436019,0,-1.0331144e-16,0,0,0.8436019,0,0,1.0331144e-16,0,-0.8436019,0,4.7109753e-26,0.070000015,-3.8468032e-10,1}"
shoe1.glb,"{-0.023889447,0,-1.3686254,0,0,1.3688339,0,0,1.3686254,0,-0.023889447,0,-0.030975789,0.07771151,-0.047875296,1}"
shoe2.glb,"{0.34930098,0,0,0,0,0.34930098,0,0,0,0,0.34930098,0,0.09880798,-0.393458,0.21430469,1}"
